
11,11.0,11,aa,"aaa,bbb",11.0,11
11,11.0,11,aa,"aaa,bbb",11.0,11
11,11.0,11,11,11,11.0,11
2,2.0,2,2,2,2.0,2
2,2.0,2,2,2,2.0,2
11,11.0,11,11,1111,11.0,11
44,44.0,44,44,44,44.0,44
44,44.0,44,44,44,44.0,44
77,77.0,77,77,77,77.0,77
55,55.0,55,55,55,55.0,55
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen",11,0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
8,5.0,1300,"peluqueria burlada, peluqueria burgos, peluqueria toledo, peluqueria santander, peluqueria leon, peluqueria albacete, peluqueria terrassa, peluqueria ciudad real, peluqueria pamplona, peluqueria palen","corte,mujer,lavado,centro,peluquería,hombre,mapa,pelo,mostrar,tratamientos,peinado",0.3,11
